OBJECTID,tractce,geoid,intptlat,intptlon,disability_mental,disability_physical,disability_total,gender_female,gender_trans,gender_total,race_eth_origin_african,race_eth_origin_african_america,race_eth_origin_american,race_eth_origin_american_indian,race_eth_origin_armenian,race_eth_origin_api,race_eth_origin_azerbaijani,race_eth_origin_canadian,race_eth_origin_croatian,race_eth_origin_danish,race_eth_origin_ethiopian,race_eth_origin_french,race_eth_origin_german,race_eth_origin_jamaican,race_eth_origin_latino,race_eth_origin_middle_easterne,race_eth_origin_multi_racial,race_eth_origin_nonwhite,race_eth_origin_other,race_eth_origin_portuguese,race_eth_origin_romani_gypsy,race_eth_origin_russian,race_eth_origin_serbian,race_eth_origin_turkish,race_eth_origin_unknown,race_eth_origin_white,race_eth_origin_total,religion_atheist_agnostic,religion_buddhist,religion_catholic,religion_christian,religion_hindu,religion_jehovahs_witness,religion_jewish,religion_mormon_lds,religion_muslim,religion_other,religion_other_christian,religion_protestant,religion_scientologist,religion_sikh,religion_unknown,religion_total,sept11_middle_east_conflict_arm,sept11_middle_east_conflict_dan,sept11_middle_east_conflict_jew,sept11_middle_east_conflict_mid,sept11_middle_east_conflict_mus,sept11_middle_east_conflict_unk,sept11_middle_east_conflict_tot,sexual_orientation_bisexual,sexual_orientation_gay_male,sexual_orientation_heterosexual,sexual_orientation_lesbian,sexual_orientation_lgbt_not_spe,sexual_orientation_total,unknown_total,blank_total,tract_total,SHAPE_Length,SHAPE_Area
347,404000,06037404000,+34.1141409,-117.8861258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,16043.4704273295,14214037.6732859
348,404100,06037404100,+34.1142597,-117.8946925,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16224.373140055,14517892.8075028
349,404301,06037404301,+34.1275266,-117.9041106,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,13965.5928811889,11920269.5789119
350,131701,06037131701,+34.2046643,-118.5578906,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10658.5007842773,7100111.06240584
351,404401,06037404401,+34.1292278,-117.9161830,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,6,20034.4975404653,15612529.5360316
352,431200,06037431200,+34.1233822,-117.9954653,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20325.0110684724,15946461.0932171
353,113232,06037113232,+34.2258261,-118.6125452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,23602.8888472749,22234608.0092167
354,113233,06037113233,+34.2269621,-118.6012202,,,,,,,,3,,,,,,,,,,,,,1,,,,,,,,,,,,4,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,5,16704.3350135309,12312299.5923563
355,113234,06037113234,+34.2257746,-118.5939793,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,5,16791.6076989613,11009763.3206396
356,431700,06037431700,+34.1213017,-118.0421450,,,,,,,,,,,,3,,,,,,,,,3,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,23852.0928426248,34068773.3473968
357,402902,06037402902,+34.0340047,-117.7449569,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,20771.7790587899,19861682.8790808
358,403000,06037403000,+34.0380811,-117.7562292,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,1,,,,,,,3,,,,,,,,,,,,,,,,5,25904.900868828,26031458.979358
359,403304,06037403304,+33.9879170,-117.8514789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,28219.7383976483,39262104.1745079
360,404402,06037404402,+34.1199537,-117.9259181,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,2,28016.4539493552,36231952.8197069
361,134521,06037134521,+34.2046283,-118.5952099,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8186.67072307059,3786331.37702672
362,404801,06037404801,+34.0785296,-117.9773075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,17210.3023296051,14997926.9440267
363,404802,06037404802,+34.0726458,-117.9690042,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15474.9239417123,11219898.7647355
364,404803,06037404803,+34.0671875,-117.9659888,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14235.1593702483,5254537.33028376
365,462600,06037462600,+34.1609655,-118.1135074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,2,15930.8083302682,11286691.0414368
366,117405,06037117405,+34.2337311,-118.4702311,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,2,5943.24060922375,2172354.12443231
367,117301,06037117301,+34.2421587,-118.4896512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,16182.3755057874,14335348.9482791
368,103300,06037103300,+34.2573786,-118.3554785,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,2,37338.6861621306,66105762.078207
369,102105,06037102105,+34.2098760,-118.3492653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,9962.25112647049,5303654.19684506
370,135113,06037135113,+34.1810128,-118.6059584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,13080.9626383991,6927095.90434746
371,910807,06037910807,+34.4410273,-118.4105719,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,5,38456.9864610387,59306318.7359991
372,119201,06037119201,+34.2462338,-118.4406390,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,12948.1075654388,10248164.6472326
373,920331,06037920331,+34.3971336,-118.5454055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,2,16608.889096075,16066940.0360795
374,125501,06037125501,+34.1622937,-118.3657855,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,3,9227.60363387911,4995201.97392981
375,920339,06037920339,+34.4153572,-118.6121722,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,2,,,,2,1,,5,87207.181661159,365364988.840511
376,700901,06037700901,+34.0645650,-118.3853968,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,3,,,,,,,3,,,,,,,,,3,,,,,,,,,,,,,,,,6,18848.9630314753,11341285.1127862
377,204910,06037204910,+34.0248828,-118.1955701,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,4,9619.43138991475,5579346.58597792
378,920332,06037920332,+34.3830811,-118.5148939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,36354.7352415026,45969371.2427676
379,910404,06037910404,+34.5646789,-118.1228242,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,4,20703.4489751713,27724821.8385424
380,910205,06037910205,+34.5379508,-118.1303814,,1,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,80632.300810411,314673388.289664
381,800204,06037800204,+34.1453278,-118.6590622,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,4,,1,,,,,,,5,,,,,,,,,,,,,,,,7,58746.06170302,86628059.9552239
382,571703,06037571703,+33.8493201,-118.1917340,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9704.9890008228,4278800.19763148
383,134304,06037134304,+34.2139330,-118.6102868,,1,1,,1,1,,2,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,1,1,,8,13572.0927666139,10983172.2932458
384,910001,06037910001,+34.5941873,-117.9262996,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,3,,1,,,,,,,,,,4,,,,,,,,,,,,,,,,6,123065.148769132,792794497.972377
385,910602,06037910602,+34.5769105,-118.0789200,,,,,,,,6,,,,,,,,,,,,,3,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,21298.2172692143,21530790.2064268
386,191500,06037191500,+34.0872608,-118.2960370,,,,,2,2,,5,,,,1,,,,,,,,,2,,,,,,,,,,,,8,,,,,,,1,,,,,,,,,1,,,,,,,,,6,,,,6,,,17,10328.4442932073,6903622.3965914
387,134422,06037134422,+34.2024601,-118.6306683,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,3,25532.2056564162,25274220.3637591
388,134520,06037134520,+34.1982940,-118.5996400,,,,,,,,11,,,,,,,,,,,,,1,,,,,,,,,,,1,13,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,15,13162.398281199,10410480.7716827
389,134901,06037134901,+34.1873507,-118.5606591,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,4,15182.4449119447,11430800.7742466
390,135102,06037135102,+34.1886366,-118.6174552,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,5,,,,,,,,,5,,,,,,,,,,,,,,,1,7,18952.7247074841,17957992.3473445
391,135111,06037135111,+34.1924609,-118.6102388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13450.5211049596,11190548.4991599
392,910603,06037910603,+34.5654630,-118.0850295,,,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,21245.7439395386,28310493.1875018
393,135203,06037135203,+34.1918593,-118.6570808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,10,,,,,,,,,,,,,,,,10,33415.4294678954,48449867.5292102
394,910705,06037910705,+34.5695640,-118.0171136,,,,,,,,8,,,,,,,,,,,,,2,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,12,30952.7841028166,61811674.6323926
395,135202,06037135202,+34.1888180,-118.6369084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,17817.5533084583,18971223.8319634
396,134800,06037134800,+34.1955756,-118.5715500,,,,,,,,4,,,,,,,,,,,,,1,,,,,,,,,,,,5,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,6,18585.3803028014,20174641.841737
397,576503,06037576503,+33.7718291,-118.1697407,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,6,7911.51439917528,3356437.59078759
398,573004,06037573004,+33.7934906,-118.1964734,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8641.32184669941,4423554.49711304
399,920015,06037920015,+34.4731193,-118.5275931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,1,,,2,38691.6833063812,63081882.2045414
400,920016,06037920016,+34.4638784,-118.5208803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,21890.282071843,22800444.469148
401,216200,06037216200,+34.0571243,-118.3482415,,,,,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,5,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,1,,,7,13967.312409567,10380745.4626377
402,920017,06037920017,+34.4474408,-118.5295759,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20513.9150501279,22354788.9295087
403,920023,06037920023,+34.4236190,-118.4920810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,1,,,2,20940.9109474537,15096937.3797506
404,134710,06037134710,+34.2023735,-118.5779426,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9944.81241149783,6141778.73193114
405,218110,06037218110,+34.0443254,-118.3275531,,,,,1,1,,6,,,,1,,,,,,,,,5,,,,,,,,,,,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,12758.8563100515,6443242.09396598
406,700902,06037700902,+34.0620828,-118.3944002,,,,,,,,3,,,,,,,,,,,,,1,1,,,,,,,,,,,5,,,,,,,7,,,,,,,,,7,,,,,,,,,,,,,,,,12,12943.3694402751,10273223.6484327
407,701000,06037701000,+34.0618692,-118.4057731,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,4,,,,,,,,,4,,,,,,,,,,,,,,,,7,18861.2809525707,15311685.6908074
408,701201,06037701201,+34.0412036,-118.4943488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,6,,,,,,,,,6,,,,,,,,,,,,,,,,7,18461.2513495379,20903331.7146998
409,218210,06037218210,+34.0427907,-118.3423056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,2,8771.28053868177,4181546.3034079
410,702400,06037702400,+34.0251002,-118.3843439,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,2,24246.6351474615,21512362.5152288
411,900602,06037900602,+34.7114773,-118.1209340,,,,,,,,4,,,,,,,,,,,,,5,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,11,31565.5083592477,55347821.8715507
412,134302,06037134302,+34.2136956,-118.6209257,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,1,,,5,15260.780857312,14066022.3718845
413,134303,06037134303,+34.2032480,-118.6118990,,,,,,,,1,,,,,,,,,,,,,3,1,,,,,,,,,,,5,,,1,1,,,2,,,,,,,,1,5,,,,,,,,,,,,,,,,10,17236.4565151357,17059177.7802399
414,134421,06037134421,+34.2020230,-118.6471400,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,19313.3316329061,22974725.8010069
415,920029,06037920029,+34.4303422,-118.4865185,,,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,,,5,,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,1,1,,8,27440.450525565,23467245.7068925
416,701502,06037701502,+34.0254597,-118.4872348,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12372.1555766943,6568032.05646407
417,920031,06037920031,+34.3993391,-118.4834286,1,,1,,,,,2,,,,,,,,,,,,,3,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,1,,9,48558.277960317,67615086.735731
418,701501,06037701501,+34.0281567,-118.4904213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,2,12368.1106484147,6646394.92789812
419,701601,06037701601,+34.0389491,-118.4799628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,16352.95580774,13266407.3435228
420,701602,06037701602,+34.0350094,-118.4754273,,,,,,,,1,,,,1,,,,,,,,,1,1,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,5,13129.8541861084,7110015.77211845
421,701701,06037701701,+34.0323370,-118.4722531,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13121.9046220341,7066995.92954503
422,702600,06037702600,+33.9958996,-118.3961597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,2,24162.5385318437,23398949.8076838
423,576904,06037576904,+33.7771513,-118.1573180,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,2,8609.28980442584,3941030.99676692
424,702803,06037702803,+33.9954427,-118.4325909,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27442.5676544632,9120667.41407185
425,900605,06037900605,+34.7043364,-118.0859661,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,31890.0031647333,56682089.2865055
426,900606,06037900606,+34.7004763,-118.1244376,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,6,20787.7963761002,18758987.8821806
427,701702,06037701702,+34.0227687,-118.4840964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,1,,,2,12326.4458614348,6533599.44290714
428,701801,06037701801,+34.0274538,-118.4657239,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,4,19303.7204995742,20444827.6855728
429,237500,06037237500,+33.9783023,-118.2893094,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8245.23339820355,3631027.81464537
430,701802,06037701802,+34.0188907,-118.4789709,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15298.9502085916,13441697.9469525
431,702201,06037702201,+34.0133521,-118.4729854,,,,,1,1,,3,,,,,,,,,,,,,,1,,,,,,,,,,,4,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,2,,,9,15231.6518923442,12961164.3154098
432,702901,06037702901,+33.9764323,-118.4553609,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,3,26015.4578056783,40556665.5346103
433,128302,06037128302,+34.1838638,-118.4605367,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,4,12437.5243626808,7414485.40712834
434,134306,06037134306,+34.2119148,-118.6017021,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,2,10337.909846585,6671154.87826245
435,703001,06037703001,+33.9970020,-118.3818740,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,3,42781.3005616879,51096392.2993857
436,703002,06037703002,+33.9874965,-118.3729565,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,2,28029.6142105349,34980712.8169116
437,900900,06037900900,+34.7694352,-118.2289593,,,,,,,,5,,,,1,,,,,,,,,4,,,,,,,,,,,,10,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,11,198250.912092972,2298915588.84163
438,920326,06037920326,+34.3510354,-118.5978736,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,5,155643.678065786,734180038.864681
439,703100,06037703100,+33.9917092,-118.3544096,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,3,26781.1612036372,28677375.8687707
440,219901,06037219901,+34.0297377,-118.3605226,,,,,,,,4,,,,1,,,,,,,,,,,,,,,,,,,,1,6,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,7,10076.126203629,5649851.8747018
441,651401,06037651401,+33.7865854,-118.3329526,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,22282.4731225769,10823802.3777989
442,213310,06037213310,+34.0508743,-118.2978915,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,2,7825.23735562967,3359268.73007475
443,214700,06037214700,+34.0664969,-118.3661529,,,,1,1,2,,1,,,,,,,,,,,,,2,,,,,,,,,,,1,4,,,,,,,6,,,,,,,,,6,,,,,,,,,,,,,,,,12,10225.8323646984,6386540.36012122
444,122420,06037122420,+34.2036100,-118.3832842,,,,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,1,,,,,,,,,4,,,,4,,,9,12386.8044016798,9285562.21682719
445,670324,06037670324,+33.8001638,-118.3869835,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,47706.1689871216,57382406.7076329
446,236400,06037236400,+34.0067001,-118.3512616,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,4,19388.9599555708,14429101.3249547
447,542200,06037542200,+33.8868935,-118.1971508,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,17021.4105155593,14902119.1830551
448,216300,06037216300,+34.0599709,-118.3622105,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,1,,,4,,,,,,,4,,,,,,,,,4,,,,,,,,,2,,1,,3,,,11,18947.3795127886,13700729.0748263
449,216700,06037216700,+34.0482451,-118.3719490,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,5,11709.653539341,8373696.28758669
450,480201,06037480201,+34.1081475,-118.1107586,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,19152.9528238715,16487685.0828664
451,213402,06037213402,+34.0498405,-118.2878882,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8305.57938929934,4217750.29155754
452,214000,06037214000,+34.0748535,-118.3485020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,7,,,,,,,,,,,,,,,,7,13352.8975494142,10887840.7761203
453,214100,06037214100,+34.0746639,-118.3392739,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,5,,,,,,,,,5,,,,,,,,,,,,,,,,6,14127.6878458443,11929138.3641236
454,216800,06037216800,+34.0557841,-118.3706043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,11547.7847142895,7963488.43020857
455,216900,06037216900,+34.0499363,-118.3631083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,3,15088.4860155054,11781573.1411458
456,217200,06037217200,+34.0495840,-118.3424594,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,2,,,3,15006.4887045559,9892604.84133746
457,218300,06037218300,+34.0427467,-118.3548171,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,17311.9468665218,9696120.91406089
458,218400,06037218400,+34.0369278,-118.3592342,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12186.9978966189,7068249.54989406
459,218500,06037218500,+34.0373857,-118.3505694,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,2,,,6,11047.4082436599,5632253.48399308
460,218600,06037218600,+34.0371838,-118.3427434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,8987.92736110265,4635201.61007433
461,218900,06037218900,+34.0326941,-118.3230172,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,5,11505.7198201805,7571353.92449828
462,219020,06037219020,+34.0222083,-118.3226729,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11239.4544830686,7819932.02541057
463,271702,06037271702,+34.0251282,-118.4259054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,13325.6822502505,7604859.17201522
464,531202,06037531202,+34.0257387,-118.1859280,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,,,3,10576.9732063609,4814912.72659806
465,224410,06037224410,+34.0351369,-118.2799795,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10535.0544147028,4878835.60746702
466,267404,06037267404,+34.0456314,-118.4605333,,,,,,,,3,,,,,2,,,,,,,,1,,,,,,,,,,,,6,,,,,,,3,,,,,,,,,3,,,,,,,,,3,,,,3,,,12,7371.04429914504,3061703.58376569
