OBJECTID,tractce,geoid,intptlat,intptlon,disability_mental,disability_physical,disability_total,gender_female,gender_trans,gender_total,race_eth_origin_african,race_eth_origin_african_america,race_eth_origin_american,race_eth_origin_american_indian,race_eth_origin_armenian,race_eth_origin_api,race_eth_origin_azerbaijani,race_eth_origin_canadian,race_eth_origin_croatian,race_eth_origin_danish,race_eth_origin_ethiopian,race_eth_origin_french,race_eth_origin_german,race_eth_origin_jamaican,race_eth_origin_latino,race_eth_origin_middle_easterne,race_eth_origin_multi_racial,race_eth_origin_nonwhite,race_eth_origin_other,race_eth_origin_portuguese,race_eth_origin_romani_gypsy,race_eth_origin_russian,race_eth_origin_serbian,race_eth_origin_turkish,race_eth_origin_unknown,race_eth_origin_white,race_eth_origin_total,religion_atheist_agnostic,religion_buddhist,religion_catholic,religion_christian,religion_hindu,religion_jehovahs_witness,religion_jewish,religion_mormon_lds,religion_muslim,religion_other,religion_other_christian,religion_protestant,religion_scientologist,religion_sikh,religion_unknown,religion_total,sept11_middle_east_conflict_arm,sept11_middle_east_conflict_dan,sept11_middle_east_conflict_jew,sept11_middle_east_conflict_mid,sept11_middle_east_conflict_mus,sept11_middle_east_conflict_unk,sept11_middle_east_conflict_tot,sexual_orientation_bisexual,sexual_orientation_gay_male,sexual_orientation_heterosexual,sexual_orientation_lesbian,sexual_orientation_lgbt_not_spe,sexual_orientation_total,unknown_total,blank_total,tract_total,SHAPE_Length,SHAPE_Area
23,123902,06037123902,+34.1758783,-118.3922288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,3,,,,,,,,,,,,,,,,3,11695.197217989,7151226.42759504
24,134522,06037134522,+34.2046744,-118.6017183,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,,,,,,,,,3,,,,,,,,,1,,,,1,,,6,10276.041126526,6622638.70188224
25,192001,06037192001,+34.0852271,-118.3472967,,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,2,,,,,,,4,,,,,,,,,4,,,,,,,,,2,,,,2,,,9,11592.717776373,5713104.83000522
26,211122,06037211122,+34.0726794,-118.2892234,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,1,1,,6,8274.05149371747,3934708.22100931
27,901210,06037901210,+34.6789981,-118.3864277,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,3,100370.437884826,248389289.091286
28,189902,06037189902,+34.0961801,-118.3490051,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,4,,,,,,,,,4,,,,,,,,,4,,,2,6,,,11,8586.31251258523,3928962.69833187
29,190100,06037190100,+34.0994853,-118.3416948,,,,,3,3,,3,,,,,,,,,,,,,,3,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,8,1,1,19,11009.1966282594,6464671.43463534
30,211921,06037211921,+34.0672320,-118.2929020,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4152.1325735024,997421.587335689
31,203710,06037203710,+34.0498932,-118.2009322,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7623.78207956169,3036174.99237699
32,189201,06037189201,+34.1035829,-118.2961605,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,4,7950.84190482214,3505709.45631141
33,267901,06037267901,+34.0564560,-118.4137159,,,,,,,,2,,,,1,,,,,,,,,1,,,,,,,,,,,,4,,,,,,,2,,,,,,,,,2,,,,,,,,,1,,1,,2,,,8,15177.3970437094,12051542.3281386
34,191420,06037191420,+34.0851215,-118.2881029,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,3,6614.97353309898,2445268.43168598
35,191820,06037191820,+34.0852963,-118.3277048,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,2,,,,2,1,1,6,9240.10092947083,4356427.20805054
36,700200,06037700200,+34.0924899,-118.3653030,,1,1,,,,,4,,,,,,,,,,,,,3,1,,,,,,,,,,1,9,,,,,,,4,,,,,,,,,4,,,,,,,,,11,,,1,12,1,,27,14072.8662502742,7523651.03915821
37,271600,06037271600,+34.0210549,-118.4304607,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12575.7924964106,9746218.88792732
38,297202,06037297202,+33.7247349,-118.2990073,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,2,9987.20395438703,6198688.53750035
39,124104,06037124104,+34.1848613,-118.3834100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,2,7927.11849709005,3492065.21292259
40,189101,06037189101,+34.1047367,-118.2885050,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,2,1,,4,,,,,,,,,2,,,,2,,,8,8256.53744050161,4254115.40552822
41,910504,06037910504,+34.5690669,-118.1046034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,18972.5432111955,17106055.0688163
42,143604,06037143604,+34.1415453,-118.3675726,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,3,13797.376465326,6047699.57958057
43,650401,06037650401,+33.8428957,-118.3368653,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,32199.9669064673,37763560.4490065
44,553503,06037553503,+33.9130459,-118.1541186,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9558.94497929127,4556093.57544613
45,573003,06037573003,+33.7943972,-118.2020691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,9050.00845754148,4824001.88223939
46,604002,06037604002,+33.8765977,-118.3569295,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10362.942519589,7004300.23357614
47,104404,06037104404,+34.2639207,-118.4286916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,10935.7094647293,5807918.47479438
48,106648,06037106648,+34.2930983,-118.4558345,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13655.9663132668,8534166.30836549
